Quantifier,Cond.num,item,Rtype,DE,UE,Conditiontype,Condition,Task
All,Weak,squareheart,AllsquareheartWeak2.jpg,--,--,readings,Weak,TVJT
All,Weak,squareheart,AllsquareheartWeak5.jpg,--,--,readings,Weak,TVJT
All,Weak,squareheart,AllsquareheartWeak6.jpg,--,--,readings,Weak,TVJT
All,Strong,squareheart,AllsquareheartStrong6.jpg,--,--,readings,Strong,TVJT
All,Strong,squareheart,AllsquareheartStrong2.jpg,--,--,readings,Strong,TVJT
All,Strong,squarestar,AllsquarestarStrong1.jpg,--,--,readings,Strong,TVJT
All,Strong,squarestar,AllsquarestarStrong4.jpg,--,--,readings,Strong,TVJT
All,Weak,squarestar,AllsquarestarWeak3.jpg,--,--,readings,Weak,TVJT
All,False,squarestar,AllsquarestarFalse1.jpg,--,--,false controls,False,TVJT
All,False,squarestar,AllsquarestarFalse2.jpg,--,--,false controls,False,TVJT
All,False,triangleheart,AlltriangleheartFalse5.jpg,--,--,false controls,False,TVJT
All,False,triangleheart,AlltriangleheartFalse6.jpg,--,--,false controls,False,TVJT
All,Weak,triangleheart,AlltriangleheartWeak1.jpg,--,--,readings,Weak,TVJT
All,Strong,triangleheart,AlltriangleheartStrong3.jpg,--,--,readings,Strong,TVJT
All,Strong,triangleheart,AlltriangleheartStrong5.jpg,--,--,readings,Strong,TVJT
All,False,trianglestar,AlltrianglestarFalse4.jpg,--,--,false controls,False,TVJT
All,False,trianglestar,AlltrianglestarFalse3.jpg,--,--,false controls,False,TVJT
All,Weak,trianglestar,AlltrianglestarWeak4.jpg,--,--,readings,Weak,TVJT
All,-,mosquitocinema enthusiast,InfSymmetrymosquitocinema enthusiastAll,-,-,Symmetry,InfSymmetry,IJT
All,-,doveliterature enthusiast,InfSymmetrydoveliterature enthusiastAll,-,-,Symmetry,InfSymmetry,IJT
All,-,poodlemusic enthusiast,InfSymmetrypoodlemusic enthusiastAll,-,-,Symmetry,InfSymmetry,IJT
