Quantifier,Condition,item,Rtype,DE,UE,Conditiontype,Cond.num,Task
Allbutone,DEstrong-UEfalse,trianglestar,SecondBlock-AllbutonetrianglestarCondition56.jpg,strong,FALSE,false controls,Condition5,TVJT
Exactly3,DEstrong-UEfalse,trianglestar,SecondBlock-Exactly3trianglestarCondition56.jpg,strong,FALSE,false controls,Condition5,TVJT
Allbutone,DEweak-UEweak,triangleheart,SecondBlock-AllbutonetriangleheartCondition24.jpg,weak,weak,readings,Condition2,TVJT
Exactly3,DEweak-UEweak,triangleheart,SecondBlock-Exactly3triangleheartCondition24.jpg,weak,weak,readings,Condition2,TVJT
Allbutone,DEfalse-UEstrong,squarestar,SecondBlock-AllbutonesquarestarCondition66.jpg,FALSE,strong,false controls,Condition6,TVJT
Exactly3,DEfalse-UEstrong,squarestar,SecondBlock-Exactly3squarestarCondition66.jpg,FALSE,strong,false controls,Condition6,TVJT
Allbutone,DEfalse-UEstrong,squarestar,FirstBlock-AllbutonesquarestarCondition63.jpg,FALSE,strong,false controls,Condition6,TVJT
Exactly3,DEfalse-UEstrong,squarestar,FirstBlock-Exactly3squarestarCondition63.jpg,FALSE,strong,false controls,Condition6,TVJT
Allbutone,DEfalse-UEstrong,squarestar,FirstBlock-AllbutonesquarestarCondition62.jpg,FALSE,strong,false controls,Condition6,TVJT
Exactly3,DEfalse-UEstrong,squarestar,FirstBlock-Exactly3squarestarCondition62.jpg,FALSE,strong,false controls,Condition6,TVJT
Allbutone,DEstrong-UEstrong,triangleheart,FirstBlock-AllbutonetriangleheartCondition34.jpg,strong,strong,readings,Condition3,TVJT
Exactly3,DEstrong-UEstrong,triangleheart,FirstBlock-Exactly3triangleheartCondition34.jpg,strong,strong,readings,Condition3,TVJT
Allbutone,DEstrong-UEweak,trianglestar,FirstBlock-AllbutonetrianglestarCondition46.jpg,strong,weak,readings,Condition4,TVJT
Exactly3,DEstrong-UEweak,trianglestar,FirstBlock-Exactly3trianglestarCondition46.jpg,strong,weak,readings,Condition4,TVJT
Allbutone,DEfalse-UEstrong,squarestar,FirstBlock-AllbutonesquarestarCondition61.jpg,FALSE,strong,false controls,Condition6,TVJT
Exactly3,DEfalse-UEstrong,squarestar,FirstBlock-Exactly3squarestarCondition61.jpg,FALSE,strong,false controls,Condition6,TVJT
Allbutone,DEweak-UEstrong,squarestar,SecondBlock-AllbutonesquarestarCondition12.jpg,weak,strong,readings,Condition1,TVJT
Exactly3,DEweak-UEstrong,squarestar,SecondBlock-Exactly3squarestarCondition12.jpg,weak,strong,readings,Condition1,TVJT
Allbutone,DEstrong-UEfalse,triangleheart,FirstBlock-AllbutonetriangleheartCondition53.jpg,strong,FALSE,false controls,Condition5,TVJT
Exactly3,DEstrong-UEfalse,triangleheart,FirstBlock-Exactly3triangleheartCondition53.jpg,strong,FALSE,false controls,Condition5,TVJT
Allbutone,DEweak-UEstrong,squarestar,SecondBlock-AllbutonesquarestarCondition11.jpg,weak,strong,readings,Condition1,TVJT
Exactly3,DEweak-UEstrong,squarestar,SecondBlock-Exactly3squarestarCondition11.jpg,weak,strong,readings,Condition1,TVJT
Allbutone,DEstrong-UEweak,triangleheart,FirstBlock-AllbutonetriangleheartCondition44.jpg,strong,weak,readings,Condition4,TVJT
